C:\Users\cywong\AppData\Local\Programs\Python\Python310\python.exe C:/Users/cywong/PycharmProjects/logodetection/logodetection_training.py
[INFO] Starting training process...
[INFO] Preprocessing images...
[INFO] Finished preprocessing images.
[INFO] Loading images and extracting LBP features...
[INFO] Finished loading images and extracting LBP features.
[INFO] Balancing classes...
[WARNING] Skipping batch 16 due to only one class present.
[INFO] Finished balancing classes.
[INFO] Extracting ResNet-50 features...
[INFO] Finished extracting ResNet-50 features.
[INFO] Combining features...
[INFO] Finished combining and scaling features.
  epoch    accuracy    train_loss    valid_acc    valid_loss      lr     dur
-------  ----------  ------------  -----------  ------------  ------  ------
      1      0.1237        2.9882       0.1237        2.9518  0.0000  2.0141
      2      0.2374        2.9011       0.2374        2.8777  0.0000  1.9341
      3      0.3232        2.8093       0.3232        2.8049  0.0000  1.9321
      4      0.3813        2.7287       0.3813        2.7341  0.0000  1.9331
      5      0.4369        2.6498       0.4369        2.6665  0.0000  1.9331
      6      0.5126        2.5681       0.5126        2.6012  0.0000  1.9341
      7      0.5707        2.5057       0.5707        2.5397  0.0000  1.9311
      8      0.5732        2.4534       0.5732        2.5335  0.0000  1.9321
      9      0.5808        2.4488       0.5808        2.5275  0.0000  1.9331
     10      0.5884        2.4425       0.5884        2.5213  0.0000  1.9301
     11      0.5884        2.4287       0.5884        2.5154  0.0000  1.9331
     12      0.5884        2.4312       0.5884        2.5092  0.0000  1.9331
     13      0.5934        2.4180       0.5934        2.5030  0.0000  1.9391
     14      0.5985        2.4150       0.5985        2.4970  0.0000  1.9421
     15      0.5985        2.4111       0.5985        2.4963  0.0000  1.9331
     16      0.5985        2.4011       0.5985        2.4957  0.0000  1.9341
     17      0.5985        2.4056       0.5985        2.4951  0.0000  1.9341
     18      0.5985        2.3993       0.5985        2.4945  0.0000  1.9321
     19      0.5985        2.4077       0.5985        2.4939  0.0000  1.9341
     20      0.5985        2.4040       0.5985        2.4933  0.0000  1.9321
     21      0.5985        2.3927       0.5985        2.4927  0.0000  1.9331
     22      0.5985        2.3964       0.5985        2.4926  0.0000  1.9311
     23      0.5985        2.4007       0.5985        2.4926  0.0000  1.9331
